postalcode,lat,lon
415506,17.594,74.4518
250502,28.8148,77.5395
206242,26.5734,79.2843
483001,23.114,80.0996
496100,24.5284,80.1508
403706,15.2651,74.096
700075,22.5204,88.2697
585419,17.6099,76.8193
147102,29.3815,76.5696
799013,20.3721,82.5838
413582,18.3244,75.1971
176206,32.9567,74.5191
852115,25.4566,79.7267
422605,20.1716,74.6261
415015,19.1494,75.4916
591240,16.5746,75.0838
533262,16.6149,79.9565
786621,26.1402,79.4289
415214,18.5228,73.8535
496336,28.301,76.8353
627657,8.263,77.856
743503,22.312,88.2861
142044,31.1023,74.9969
752107,21.968,84.0777
531029,17.0061,81.4687
387315,24.2537,75.0963
516339,14.9776,78.8922
481771,25.2521,79.8005
824209,24.6501,78.6853
591240,16.5746,75.0838
671324,13.1417,76.3313
734311,27.3591,88.5077
524415,13.5582,78.9992
494661,20.4924,78.9169
770033,24.4355,87.2581
791102,28.0643,95.2918
344035,26.3525,72.1917
841438,29.764,77.4896
521214,17.25,81.6333
721645,22.0838,88.0403
795132,24.61,93.8887
202141,26.5106,78.9367
628902,9.144,77.9907
535593,18.6098,83.1781
759020,21.8383,86.8083
625503,10.693,78.1738
583114,15.4477,77.1141
742163,23.1895,88.4775
732201,24.1445,86.7573
521403,16.9982,80.5224
673522,11.5333,75.6667
754031,22.1714,86.8374
413002,20.3275,77.3606
679327,11.1159,76.2822
205268,23.2117,77.4578
585290,16.0095,76.9327
534134,14.125,79.7157
722122,24.3018,85.3634
802158,26.0513,80.4039
612105,12.4517,78.3513
523304,14.9299,79.4138
305813,25.8681,76.5275
767062,20.9545,83.879
688008,9.4617,76.3382
431103,29.1663,74.1755
382007,23.1505,72.6399
758085,21.6731,85.3629
852132,26.8449,79.1012
679322,10.9804,76.2252
577232,13.0027,77.938
741249,20.8088,86.7754
522411,16.3991,80.3765
152112,30.2743,74.5902
796701,23.1116,92.7256
732207,25.6166,83.7523
284405,24.587,78.728
323802,23.9289,74.952
531026,17.85,82.8833
700072,22.5204,88.2697
331811,28.1008,73.8687
743349,22.5076,86.8145
495119,22.2308,80.4602
573141,13.3912,77.2803
713423,22.8133,88.0117
271303,27.3773,81.9864
202001,28.9869,77.3134
586201,9.4605,78.7908
277209,23.702,81.3522
851120,27.2311,78.4456
303005,27.7292,76.1019
743337,22.2569,88.5694
783393,25.6204,91.3994
523226,15.4023,79.4934
802212,24.6269,86.5981
495442,23.1387,81.4559
211013,25.9911,81.7431
845438,26.685,79.9128
495115,23.502,80.7806
508373,17.0757,82.1391
591122,16.0955,74.6875
303005,26.5801,75.5569
304504,26.899,75.6325
140124,31.3948,76.3712
754162,25.1839,82.6166
516105,17.6414,78.314
854318,26.2986,87.2671
515212,17.2373,78.3992
262902,31.2047,77.8767
786007,26.8437,94.2001
756133,22.5484,84.9293
477449,25.8835,79.5994
534450,19.716,77.0379
505331,17.8263,78.3436
731126,24.3749,88.216
606751,12.4346,79.0981
388430,23.5724,74.5939
574214,18.497,76.0936
223101,24.7901,78.8277
759125,19.8497,83.4912
181141,32.5348,74.8983
845301,26.9461,84.9632
500101,17.5683,78.7218
209825,26.5786,78.489
811305,27.5821,79.6748
425406,21.9051,78.7955
416230,20.9642,75.4927
480994,23.5961,79.0784
758002,19.6305,82.1826
444507,20.9822,76.4365
762029,20.3625,84.2665
421302,17.8618,76.6789
388205,23.9699,76.6707
491223,24.6215,79.817
496338,24.3465,81.397
783371,26.2727,90.4456
629502,8.9902,77.2776
146001,31.5324,75.908
431213,19.5315,76.2544
764077,19.9484,82.698
364270,21.6941,73.2069
383010,22.3043,74.3551
635751,13.2848,77.9209
670705,12.5263,75.502
638055,11.2674,77.5507
601205,19.9098,81.1521
365601,22.2617,71.0574
736121,23.2665,84.553
581328,14.8854,74.2261
246725,27.4934,79.5034
600037,13.0645,80.2385
342312,27.1318,73.0585
520012,16.4841,80.6051
577301,14.3295,76.2478
203202,27.4847,76.8701
473774,25.0565,78.7964
414202,20.2703,75.8891
612604,10.8616,79.4796
628905,9.6448,78.628
627953,8.9627,77.6349
222136,26.6525,80.5117
160003,30.6569,76.8053
466446,23.3197,76.8861
785006,25.1231,91.8764
686582,13.5432,76.486
431144,15.2292,76.2126
685581,9.9436,77.9614
635305,12.2255,77.8907
224158,26.8173,79.7378
283152,27.2205,78.4847
754206,20.5569,86.1919
516289,15.5405,79.9456
363621,24.2352,73.6545
766111,21.5667,82.3333
