areaCodePrefix,cluster1,cluster2,cluster3,cluster4,cluster5
272153,1,1,8,8,6
143102,6,1,5,8,2
768016,3,8,4,1,2
263641,1,6,8,5,2
221713,8,8,1,1,3
423702,2,5,4,8,1
764076,8,1,3,5,4
573214,9,0,4,2,8
606402,0,0,9,9,4
786101,7,3,8,1,4
312601,5,1,2,8,6
501218,4,9,2,0,8
795102,7,3,8,1,4
495691,8,3,1,4,2
245101,6,1,5,8,2
185153,6,1,5,8,2
127201,5,1,6,2,8
508213,4,9,0,2,8
581126,9,0,2,4,5
686143,0,9,4,2,5
382855,3,8,4,7,1
127306,6,6,1,1,5
248007,1,6,8,5,3
721133,3,8,7,4,1
768045,8,3,4,1,2
248001,1,6,8,5,2
517213,9,0,4,2,8
761201,8,4,1,3,2
335523,6,5,1,8,2
583236,9,2,4,0,5
524131,4,9,2,8,0
444401,2,5,4,8,1
394630,2,5,9,4,1
524401,0,9,4,2,8
247772,6,1,5,8,2
481990,8,1,2,4,5
799045,3,7,8,4,1
207245,1,6,5,8,2
401502,2,5,9,4,1
423403,2,9,5,4,1
721303,3,8,7,4,1
811212,1,8,6,3,5
388543,5,2,1,6,9
209601,6,1,5,8,2
412219,2,9,4,5,0
636111,0,9,4,2,8
629704,0,9,4,2,8
416112,9,2,4,0,5
283204,1,8,5,6,2
384315,5,2,1,6,8
322023,5,6,1,2,8
586203,4,9,2,0,8
335063,6,5,1,8,2
231211,8,1,3,5,6
502371,3,7,8,4,1
686577,2,4,5,9,8
485774,1,5,8,6,2
643202,0,0,9,9,4
466114,5,1,2,8,6
721504,8,3,1,4,2
242305,8,1,3,5,6
413319,9,2,4,0,5
392130,2,5,1,9,4
742135,3,7,8,1,4
143305,6,1,5,8,2
670706,9,0,4,2,5
741506,3,7,8,1,4
743378,6,5,1,8,2
285130,1,8,5,6,2
425105,2,2,5,5,4
534326,4,9,0,2,8
431701,2,9,4,5,0
614710,0,9,4,2,8
224001,1,1,8,8,6
788118,3,7,8,4,1
495551,8,1,5,3,2
603104,0,9,4,2,3
341509,5,1,6,2,8
313331,5,2,1,6,8
822123,8,3,1,7,6
622503,0,9,4,2,8
194401,6,1,5,8,3
389340,5,2,1,6,8
229306,8,3,1,7,4
276141,8,3,1,7,6
516126,9,0,4,2,8
523301,4,9,0,2,8
521120,4,9,0,2,3
396040,5,2,1,6,8
423301,2,2,4,4,8
532290,4,3,8,9,2
209202,1,5,6,8,2
143022,0,9,4,2,8
582209,9,4,2,0,5
577218,9,0,4,2,5
172025,6,1,5,8,2
305412,5,1,6,2,8
261501,1,8,6,5,3
484334,8,1,3,4,2
232108,1,8,6,5,3
175132,6,1,5,8,2
333516,6,1,5,8,2
305819,5,6,1,2,8
110009,6,1,5,8,2
501202,4,9,2,0,8
723156,3,8,7,1,4
670017,0,9,4,2,5
134007,6,1,5,8,2
334803,1,6,5,8,2
626003,0,9,4,2,8
561101,9,0,4,2,8
110063,5,1,6,2,8
262201,1,6,8,5,3
313603,5,1,2,8,6
591306,9,2,4,0,5
804407,1,8,6,5,3
454335,2,5,1,8,4
481105,8,1,5,2,4
305207,5,6,1,2,8
721456,1,8,6,3,5
413712,2,4,9,8,5
193502,6,1,5,8,2
851212,3,8,7,1,4
413211,2,5,9,4,1
246722,1,6,8,5,3
209722,1,8,6,5,3
534002,4,9,3,8,2
722137,1,6,8,5,3
582102,9,2,0,4,5
581321,9,0,2,4,5
852131,8,1,3,6,5
786004,7,3,8,1,4
227304,1,8,6,5,3
283110,1,6,5,8,2
341519,5,6,1,2,8
230132,8,1,3,6,5
454446,1,1,5,5,6
586119,0,9,4,2,5
682313,3,4,8,9,1
534301,4,9,2,0,8
363530,5,2,1,6,8
221712,8,1,3,4,5
212621,2,5,1,8,4
562126,9,0,4,2,8
691530,0,9,4,2,8
424311,2,5,9,4,1
625103,0,9,4,2,8
572130,9,0,4,2,5
193501,6,1,5,8,2
141007,6,1,5,8,2
423213,2,5,9,4,1
517124,4,9,2,8,3
445202,2,4,9,5,8
412402,2,5,9,4,1
515122,0,9,4,2,8
465693,5,2,1,6,8
263645,6,1,5,8,3
620005,0,9,4,2,8
794103,7,3,8,1,4
110081,1,6,8,5,3
843334,5,6,1,2,8
583212,9,9,0,0,4
533221,4,9,0,3,2
752035,3,8,4,7,1
503301,2,5,4,9,8
494447,4,9,2,8,3
486886,8,1,3,4,5
152003,6,1,5,8,2
410501,2,9,5,4,1
639002,9,0,4,2,5
505467,4,9,2,0,8
175106,6,1,5,8,2
815314,3,8,1,7,4
387620,5,1,6,2,8
143116,6,1,5,8,2
713125,6,1,5,8,2
263158,1,6,5,8,2
210209,1,1,1,8,8
431205,2,9,4,5,8
843113,8,1,3,6,5
571126,6,1,5,8,2
574222,9,9,0,0,4
470661,5,1,8,2,6
712411,8,3,1,4,7
306303,5,6,1,2,8
583214,9,9,0,0,4
480115,1,5,8,2,4
533287,4,9,0,3,2
302020,5,1,6,8,2
222101,1,6,5,8,2
389365,1,1,5,5,8
124508,1,6,8,5,3
263624,6,1,8,5,3
583219,2,9,4,0,5
766011,4,3,8,1,2
731213,3,8,7,4,1
387305,5,2,1,6,8
416521,9,2,0,4,5
731301,3,8,1,2,8
422502,2,9,5,4,1
441302,2,4,8,5,1
799273,7,3,8,1,4
233306,1,8,6,5,3
326023,1,5,6,8,2
431206,1,5,8,2,6
797005,7,3,8,1,4
140301,6,1,5,8,2
223224,1,8,5,6,2
500029,4,9,2,0,8
496224,1,8,6,5,3
144007,6,5,1,8,2
307026,5,5,6,1,2
460110,2,5,4,1,8
331022,6,5,1,8,2
795149,7,7,3,3,8
209217,1,5,8,6,2
224164,1,8,5,6,2
630558,0,9,4,2,8
473670,1,5,6,8,2
313602,5,1,2,6,8
802213,8,2,4,1,5
413519,4,2,9,8,5
628702,0,9,4,2,8
811310,8,1,3,7,6
752050,3,8,4,7,1
638312,0,9,4,2,8
785105,7,3,8,1,4
212106,1,8,5,6,2
585310,2,5,9,4,1
201204,6,1,5,8,2
631003,0,9,4,2,8
271871,1,1,8,8,6
172030,6,1,5,8,2
506332,4,9,2,0,8
612103,0,9,4,2,8
382355,5,2,1,6,8
413112,2,2,9,4,9
627426,0,9,4,2,8
502108,4,9,2,0,8
389160,1,8,5,2,4
507302,4,9,2,0,8
736159,3,7,8,1,4
445109,2,4,8,9,5
394633,2,5,9,1,4
192401,6,1,5,8,2
443303,8,4,1,2,3
505524,4,9,2,8,0
193401,6,1,5,8,2
486771,1,8,6,5,2
400703,2,2,9,9,5
313708,5,6,1,2,8
224126,1,8,6,5,2
803216,3,8,7,1,4
799269,7,3,8,1,4
416509,2,5,4,9,8
173212,6,1,5,8,2
742202,3,8,7,1,4
782124,1,8,6,5,3
125111,5,1,2,8,6
532407,4,3,9,8,2
131301,6,1,5,8,2
574198,0,9,4,2,8
783325,7,3,8,1,4
562101,9,0,4,2,8
742308,1,8,6,5,3
442707,3,8,4,1,7
585202,2,8,5,4,1
303009,5,1,6,8,2
361305,5,2,6,1,8
481445,8,1,5,3,2
628616,0,9,4,2,8
561201,9,0,4,2,8
503185,4,9,2,0,8
493554,2,5,9,1,4
766101,6,1,5,8,2
306114,5,6,1,2,8
396191,1,2,8,5,5
246276,3,8,7,1,4
591220,9,2,4,0,5
402307,2,9,4,5,0
766012,8,3,4,1,2
272189,1,8,6,3,5
152116,6,5,1,8,2
148026,1,6,5,8,2
577601,0,9,4,2,8
494448,4,2,9,8,3
781132,3,7,8,1,4
573211,9,0,4,2,8
470117,1,8,5,2,6
175042,1,8,6,5,3
477441,1,6,8,5,2
272206,8,1,3,6,5
502335,4,9,2,0,8
225306,1,8,6,5,3
723201,7,3,8,1,4
515271,0,9,4,2,8
443301,6,1,5,8,2
413304,2,2,9,9,4
782127,7,3,8,1,4
492112,8,3,4,1,2
413202,2,9,4,5,0
686636,2,5,4,9,1
458113,5,1,2,6,8
273007,1,8,6,5,3
832102,3,8,4,7,1
517520,9,0,4,2,8
632513,4,9,0,2,3
759120,3,8,4,1,7
423204,2,5,9,4,1
685562,0,9,4,2,8
416812,2,2,9,9,5
282007,1,8,5,6,2
524303,9,9,4,4,0
638657,9,0,4,2,8
451442,5,1,2,6,8
475686,1,8,6,5,3
587207,9,0,2,4,5
515405,9,0,4,2,8
847224,8,1,3,6,5
576112,9,0,2,4,5
480667,5,2,1,8,4
721201,3,8,7,4,1
207249,1,8,6,5,2
689547,0,9,4,2,8
743422,6,1,5,8,3
416201,9,2,4,0,5
783346,7,7,3,3,8
534166,4,9,0,2,8
759128,3,8,4,1,2
400603,2,9,5,4,1
321605,1,5,6,8,2
583125,9,2,0,4,5
523212,4,9,0,2,8
632002,0,9,4,2,8
523228,4,9,0,2,8
509201,9,4,0,2,8
614702,0,9,4,2,8
803302,2,5,9,1,4
743395,1,6,8,5,3
413602,2,9,4,5,8
515661,9,0,4,2,8
413216,9,2,4,0,5
444503,2,5,1,8,4
576213,9,0,2,4,5
754136,3,8,4,1,7
841425,1,8,6,5,2
171221,4,8,3,2,9
574105,6,1,5,8,2
581353,9,9,0,0,2
457779,5,2,1,8,6
757019,3,8,7,4,1
852221,3,8,7,1,6
460551,8,1,2,5,4
491336,8,1,4,2,5
173022,6,1,5,8,2
721627,3,8,4,7,1
391760,5,1,6,2,8
450551,2,5,1,8,4
522259,4,9,0,2,8
451666,2,5,1,8,4
845433,1,8,6,5,3
413534,9,2,4,0,5
814133,8,3,1,4,7
416208,2,5,4,1,9
691555,0,9,4,2,8
852139,1,8,6,5,3
501510,4,9,2,0,8
679357,9,9,0,0,4
805121,6,1,5,8,2
271831,1,8,3,6,5
383335,5,2,1,6,8
396007,2,5,9,4,1
481335,2,8,4,1,5
813104,8,8,3,3,1
678722,0,9,4,2,5
444707,2,5,4,8,9
221711,3,8,7,1,6
505401,4,9,2,8,0
733124,3,8,7,1,4
362268,2,5,9,1,6
845415,8,3,1,7,6
303712,1,8,6,5,2
841426,8,3,1,7,6
813221,8,3,1,7,6
424306,2,5,1,8,4
524226,4,9,0,2,8
211003,1,1,8,8,6
184204,5,6,1,2,8
312605,5,1,8,2,6
444504,2,5,4,1,8
686540,0,9,4,2,5
627113,0,9,4,2,8
185154,6,1,5,8,2
180002,6,5,1,8,2
522304,4,4,9,9,0
614701,0,9,4,2,3
785602,7,3,8,1,4
364310,5,2,1,9,6
461990,1,8,5,2,6
609502,0,9,4,2,3
515531,9,4,0,2,8
577428,9,0,4,2,5
573137,0,9,4,2,5
301701,8,1,5,2,4
604306,0,0,9,9,4
795125,7,3,8,1,4
475675,1,6,5,8,2
246721,1,8,6,5,3
821110,1,6,8,5,3
841311,1,8,6,5,3
272204,1,8,6,3,5
573225,9,9,0,0,4
679321,0,9,4,2,5
456224,5,1,2,6,8
210427,1,8,6,5,2
335526,6,6,1,1,5
233304,1,8,5,6,2
572107,9,0,4,2,8
385566,5,2,1,6,8
643212,0,9,4,2,5
758080,8,1,3,4,5
585324,2,4,9,5,8
607001,0,9,4,2,8
143529,6,1,5,8,2
504273,2,4,8,1,5
201009,4,9,2,0,8
752103,3,8,4,1,7
323301,5,1,6,2,8
327001,5,1,2,8,6
766028,8,3,4,1,2
532409,4,9,0,3,2
133102,6,1,5,8,2
363423,5,2,1,6,9
223225,8,1,3,6,5
632519,0,9,4,2,8
262533,2,9,4,5,0
475220,1,5,8,6,2
573217,9,0,4,2,8
641670,0,9,4,2,8
465339,5,5,2,2,1
518346,9,4,0,2,5
722132,3,7,8,1,4
392012,5,2,1,6,9
174306,6,1,5,8,2
641018,0,9,4,2,8
605203,0,9,4,2,8
506224,4,9,2,0,8
843104,8,1,3,4,5
249204,6,1,5,8,2
636904,0,9,4,2,8
628714,0,9,4,2,8
303706,5,6,1,8,2
854334,8,3,1,7,6
796901,7,3,8,4,1
583227,4,9,2,0,8
390014,6,1,5,8,2
678622,0,0,9,9,4
637301,0,0,9,9,4
574154,9,0,4,2,5
241122,6,1,5,8,2
821311,8,1,3,6,5
761131,3,4,8,1,2
509215,4,9,2,0,8
642106,0,9,4,2,8
521321,4,9,0,2,8
797104,7,3,8,1,4
464221,1,8,5,2,6
110015,6,1,5,8,2
534196,4,9,0,2,8
843320,8,1,3,6,5
732102,3,8,7,1,4
587205,9,2,4,0,5
283101,5,1,6,2,8
301412,6,1,5,8,2
364230,5,2,1,6,8
415014,2,4,9,5,8
233228,1,8,6,5,3
403401,9,2,0,4,5
394670,5,1,2,6,8
585316,9,2,4,0,5
581113,9,2,0,4,5
425405,9,4,2,0,5
485113,5,2,1,6,8
444505,2,2,4,4,9
743235,3,8,7,1,4
303501,1,5,6,8,2
614716,0,9,4,2,8
625205,0,9,4,2,8
781334,6,1,5,8,2
494114,4,9,2,8,3
470226,8,1,5,2,4
583128,0,9,4,2,8
332311,6,5,1,8,2
815315,3,8,1,7,4
450331,2,5,4,1,8
636905,0,9,4,2,8
502248,4,9,2,0,8
445306,4,2,8,9,5
796770,7,3,8,4,1
229405,8,1,3,5,6
574241,9,4,2,0,8
534156,4,9,0,2,8
700138,3,7,8,4,1
532459,4,3,8,9,2
344708,5,6,1,2,8
383251,5,2,1,6,8
144701,6,1,5,8,2
423603,2,9,5,4,1
761026,3,4,8,9,1
620006,0,9,4,2,8
841405,1,8,6,5,2
383230,5,5,2,2,1
622002,9,0,4,2,5
