areaCodePrefix,cluster1,cluster2,cluster3,cluster4,cluster5
125055,2,4,5,1,0
768216,0,2,1,5,4
601203,3,1,5,0,2
614626,3,1,5,0,2
626203,3,1,5,0,2
403109,5,1,3,2,0
504106,1,5,3,0,2
621806,3,5,1,0,2
845437,2,4,0,1,5
311806,2,1,5,4,0
845412,2,4,0,1,5
133207,2,4,1,5,0
576111,3,5,1,2,0
413608,5,1,3,2,0
641606,3,1,5,0,2
144034,4,2,5,1,0
713330,4,2,0,1,5
608502,3,1,5,0,2
792120,0,2,4,1,5
222136,2,4,0,1,5
224137,2,4,0,1,5
521263,1,5,3,0,2
171221,2,4,0,1,5
690509,3,5,1,0,2
581301,5,3,1,2,0
473105,2,4,1,5,0
695004,3,5,1,0,2
396510,5,1,2,4,3
788168,0,2,4,1,5
625221,3,1,5,0,2
342606,2,4,5,1,0
229208,2,0,1,4,5
711312,0,2,1,4,5
533262,1,5,3,0,2
632509,3,1,5,0,2
325204,2,4,5,1,0
670107,3,5,1,0,2
400092,5,1,3,2,4
416801,1,5,0,3,2
781316,0,2,4,1,5
577139,3,5,1,0,2
766014,1,5,3,2,0
736170,0,1,2,5,4
247777,2,4,1,5,0
788931,0,2,4,1,5
752056,0,1,5,2,3
622104,3,1,5,0,2
686533,3,5,1,0,2
262309,2,4,0,1,5
171214,2,4,5,1,0
493229,0,2,1,5,4
521235,1,5,3,0,2
799288,0,2,4,1,5
227408,1,5,2,0,4
689548,3,5,1,0,2
841446,0,1,5,3,2
248008,2,4,1,5,0
425102,5,1,2,3,4
534210,1,5,3,0,2
364313,5,1,2,4,3
389175,2,5,1,4,3
523187,1,3,5,0,2
690503,3,5,1,0,2
626112,3,5,1,0,2
712203,0,1,2,5,4
413305,5,1,3,2,4
484110,2,1,0,4,5
788030,0,2,4,1,5
758017,0,2,1,5,4
742132,0,1,5,3,2
851114,2,4,1,5,0
804420,1,5,3,0,2
410208,5,1,3,2,4
207402,2,4,1,5,0
391110,5,1,2,4,3
425428,5,1,2,4,3
229122,0,2,1,5,4
273005,2,4,1,5,0
847233,2,4,0,1,5
382030,5,1,2,4,3
761143,1,5,0,3,2
224203,2,4,1,5,0
175005,2,4,1,5,0
852219,0,1,5,2,4
770041,0,1,5,2,3
142029,2,4,5,1,0
425310,5,1,3,2,4
848204,2,4,1,0,5
632107,3,1,5,0,2
387411,5,1,2,4,3
176097,2,4,1,5,0
488220,2,1,0,5,4
841205,2,4,0,1,5
508202,1,5,3,0,2
678557,3,5,1,0,2
209208,4,2,5,1,0
581350,3,5,1,0,2
385510,2,4,5,1,3
613103,3,1,5,0,2
847401,0,2,4,1,5
313206,1,5,3,2,0
180016,4,2,5,1,0
762010,0,1,5,2,3
855106,0,2,4,1,5
396540,5,1,2,4,3
533210,1,5,3,0,2
305925,2,4,5,1,0
722110,0,2,1,4,5
516151,1,5,3,0,2
500023,1,5,3,0,2
721125,0,1,5,2,4
524303,3,1,5,0,2
332405,2,4,5,1,0
410101,5,1,3,2,4
210501,2,4,5,1,0
625011,3,1,5,0,2
711114,0,1,2,5,4
110001,2,4,5,1,0
175105,4,2,0,1,5
572212,3,5,1,0,2
360430,5,1,2,4,3
576105,3,5,1,0,2
387240,2,5,1,4,3
574279,5,3,1,2,0
683546,3,5,1,0,2
686633,5,3,1,2,0
624304,3,1,5,0,2
246723,2,4,0,1,5
250401,2,4,5,1,0
812005,2,4,0,1,5
144626,4,2,5,1,0
581197,5,1,3,2,0
573162,3,5,1,0,2
518465,1,5,3,0,2
415612,5,1,3,2,4
486553,2,4,0,1,5
212659,2,4,0,1,5
577216,3,5,1,2,0
686651,3,5,1,0,2
403511,5,1,3,2,0
175136,5,1,2,4,3
824208,2,4,1,5,0
181207,4,2,5,1,0
608401,3,1,5,0,2
560025,3,1,5,0,2
400017,5,1,3,2,4
509410,1,5,3,0,2
233227,2,4,0,1,5
148002,4,2,5,1,0
577128,5,1,3,2,0
835218,0,2,1,5,4
804401,0,2,4,1,5
342006,2,4,5,1,3
620022,3,1,5,0,2
175006,2,4,1,5,0
500074,1,5,3,0,2
160025,4,2,5,1,0
761105,0,1,5,3,2
605108,3,1,5,0,2
431705,5,1,3,2,4
505425,1,5,3,2,0
622504,3,1,5,0,2
627502,3,1,5,0,2
805107,0,2,4,1,5
203398,2,4,1,5,0
383410,2,5,1,4,3
384160,2,4,5,1,0
583220,3,5,1,2,0
331001,2,4,5,1,0
621313,3,1,5,0,2
262522,4,2,1,5,0
110041,2,4,1,5,0
522034,3,1,5,0,2
225119,2,4,0,1,5
683563,3,5,1,0,2
604401,3,1,5,0,2
600073,3,1,5,0,2
628612,3,1,5,0,2
231206,0,2,4,1,5
244245,2,4,0,1,5
781369,0,2,4,1,5
246174,4,2,0,1,5
576108,3,5,1,2,0
758021,0,1,5,2,4
686001,3,5,1,0,2
413524,5,1,3,2,0
401203,5,1,2,3,4
580031,5,1,3,2,0
782426,0,2,4,1,5
638751,3,1,5,0,2
796310,0,2,1,4,5
679323,3,1,5,0,2
414005,5,1,3,2,4
332030,2,4,5,1,0
835226,0,1,5,2,4
760001,0,1,5,3,2
141421,4,2,5,1,0
799201,0,2,1,4,5
524127,3,1,5,0,2
577435,5,1,3,2,0
535214,1,5,3,0,2
362130,5,1,2,4,3
442306,5,1,2,3,4
575030,4,2,5,1,0
532291,0,1,5,3,2
370605,2,4,0,1,5
582111,5,1,3,2,0
364130,2,4,5,1,3
731242,0,1,5,2,4
484774,2,4,1,5,0
506348,1,5,3,0,2
603309,3,1,5,0,2
642203,3,1,5,0,2
341306,2,4,0,1,5
274705,2,4,0,1,5
110007,2,4,1,5,0
754200,1,5,0,3,2
274303,0,1,5,3,2
799284,0,1,5,2,3
712105,2,4,0,1,5
246127,4,2,0,1,5
361160,5,1,2,4,3
671313,3,5,1,0,2
591315,5,1,3,2,0
424306,5,1,2,4,3
841416,2,4,0,1,5
845458,2,0,4,1,5
678554,3,5,1,0,2
532426,1,0,5,3,2
364710,5,1,2,4,3
638055,3,1,5,0,2
722133,0,1,2,5,4
624101,3,1,5,0,2
466221,5,1,2,4,3
591113,5,1,3,2,0
532215,0,1,5,3,2
712502,0,1,2,5,4
324009,2,4,5,1,0
388001,5,1,2,4,3
799256,0,1,2,5,4
494222,2,5,1,4,0
797109,0,2,4,1,5
822128,0,1,2,5,4
574235,3,5,1,0,2
695029,3,5,1,0,2
800026,0,2,1,4,5
843114,2,4,0,1,5
627412,3,1,5,0,2
248143,4,2,0,1,5
625520,3,1,5,0,2
762030,0,1,5,2,3
490036,2,4,1,0,5
756058,0,1,5,3,2
624219,3,1,5,0,2
205263,2,4,5,1,0
732147,0,2,4,1,5
583126,3,5,1,0,2
465118,2,5,1,4,3
176402,4,2,0,5,1
575025,5,1,3,2,0
415410,5,1,3,2,0
311401,2,1,5,4,0
799277,0,1,5,2,3
464240,2,1,5,4,0
500070,1,5,3,0,2
799289,0,2,1,4,5
263151,2,4,1,5,0
325202,2,4,5,1,0
413402,5,1,3,2,4
126110,2,4,5,1,0
852139,2,4,0,1,5
522259,3,1,5,0,2
614714,3,1,5,0,2
204102,2,4,0,1,5
425110,5,1,3,2,4
422302,5,1,2,3,4
131402,1,5,2,0,4
574239,3,5,1,0,2
591129,5,1,3,2,0
761151,0,1,5,2,4
695017,3,5,1,0,2
572102,3,5,1,0,2
757081,0,1,2,5,4
473440,2,4,1,5,0
413107,5,1,3,2,4
144630,4,2,5,1,0
584129,5,1,3,2,0
560032,3,1,5,0,2
445216,1,5,2,3,0
393110,2,4,5,1,3
785110,0,1,2,5,4
577005,3,5,1,0,2
313901,2,5,1,4,3
228131,2,4,0,1,5
507208,1,5,3,0,2
574220,3,5,1,2,0
587204,5,1,3,2,0
230134,0,2,4,1,5
